job_title,company,location,required_skills,years_experience,job_description,url
Machine Learning Engineer,Google DeepMind,Mountain View CA,Python TensorFlow PyTorch JAX distributed training research,3,"Design and implement large-scale ML models and training pipelines. Collaborate with research scientists to productionize cutting-edge AI systems. Optimize model performance for efficiency and scalability. Contribute to internal ML infrastructure and tooling. Work on reinforcement learning and generative AI systems. Write clean modular code and rigorous unit tests. Publish research findings in top-tier venues.",https://careers.google.com/jobs/results/
Data Scientist,Meta AI,Menlo Park CA,Python R SQL PyTorch experimentation A/B testing causal inference statistics,2,"Run experiments and build models that improve billions of user experiences across Facebook Instagram and WhatsApp. Analyze large-scale datasets to uncover behavioral patterns and actionable insights. Design and evaluate A/B tests with proper statistical rigor. Build predictive models for content ranking ads and recommendations. Partner with product and engineering teams to define metrics. Communicate findings clearly to non-technical stakeholders.",https://www.metacareers.com/jobs/
ML Engineer - NLP,OpenAI,San Francisco CA,Python PyTorch transformers fine-tuning RLHF LLM evaluation distributed systems,3,"Work on training and fine-tuning large language models including GPT and reasoning models. Implement RLHF pipelines and alignment techniques. Build evaluation frameworks to measure model safety and capability. Collaborate with alignment research teams on novel training approaches. Optimize inference performance and serving infrastructure. Contribute to open research publications. Handle large-scale distributed training across thousands of GPUs.",https://openai.com/careers/
Data Engineer,Snowflake,Remote USA,Python SQL dbt Airflow Spark data modeling ETL pipeline Kafka,2,"Design and build scalable data pipelines that power analytics and ML workloads. Build reusable dbt models and transformation layers across multiple domains. Implement real-time streaming pipelines using Kafka and Flink. Ensure data quality monitoring and observability across the platform. Collaborate with data scientists and analysts to deliver reliable data products. Work in a cloud-native environment on AWS and Azure. Mentor junior engineers on best practices.",https://careers.snowflake.com/us/en/
AI Research Scientist,Microsoft Research,Redmond WA,Python PyTorch research publications machine learning deep learning NLP computer vision,5,"Conduct original research in machine learning artificial intelligence and related areas. Publish findings at top conferences such as NeurIPS ICML and ICLR. Collaborate with product teams to transfer research into real Microsoft products. Design novel architectures for language vision and multimodal models. Lead and mentor junior researchers and interns. Apply for patents for novel inventions. Work closely with Azure AI teams on deployment at scale.",https://careers.microsoft.com/us/en/
MLOps Engineer,Databricks,San Francisco CA,Python MLflow Kubernetes Docker CI/CD model serving monitoring AWS Azure,3,"Build and maintain ML platform infrastructure to accelerate data scientist productivity. Deploy and monitor production ML models using MLflow and Databricks pipelines. Implement CI/CD pipelines for model training and deployment. Design feature stores and model registries at enterprise scale. Troubleshoot performance issues in training and serving systems. Partner with data scientists to operationalize experiments. Ensure model observability and drift detection in production.",https://www.databricks.com/company/careers/
Computer Vision Engineer,Tesla,Palo Alto CA,Python PyTorch C++ computer vision object detection CUDA real-time inference,4,"Develop state-of-the-art computer vision models for Autopilot and Full Self-Driving. Work on 3D perception multi-camera fusion and occupancy prediction. Optimize models for real-time inference on custom neural processing hardware. Analyze large-scale fleet data to improve model accuracy. Collaborate with simulation and data labeling teams. Deploy models to millions of vehicles via OTA updates. Conduct ablation studies and model evaluation at scale.",https://www.tesla.com/careers/
Data Analyst - AI Products,Airbnb,San Francisco CA,SQL Python Tableau Looker statistics A/B testing product analytics,1,"Analyze product data to understand how AI-powered features affect host and guest experiences. Build dashboards and automated reports for product and leadership teams. Design and analyze experiments to measure the impact of new AI features. Develop metrics frameworks for evaluating recommendation and search quality. Collaborate with ML engineers to define ground truth labels and evaluation sets. Translate complex analysis into clear actionable narratives.",https://careers.airbnb.com/
NLP Engineer,Hugging Face,Remote USA,Python transformers NLP fine-tuning datasets tokenization model evaluation open source,2,"Build and maintain NLP libraries used by millions of developers worldwide. Fine-tune and evaluate transformer models across diverse language tasks. Contribute to the Transformers Datasets and Evaluate open-source libraries. Write technical documentation tutorials and blog posts. Engage with the open-source community through GitHub and Discord. Research and implement novel tokenization and model compression techniques. Collaborate on multimodal models combining text vision and audio.",https://apply.workable.com/huggingface/
Machine Learning Engineer,Spotify,New York NY,Python TensorFlow recommendation systems collaborative filtering A/B testing Kafka,3,"Build and improve ML models powering music podcast and audiobook recommendations for 600M+ users. Design and deploy large-scale collaborative filtering and content-based models. Run online experiments to evaluate recommendation quality and user engagement. Optimize models for low-latency serving using feature stores. Collaborate with research and product teams to define recommendation strategies. Monitor model health and performance degradation in production.",https://www.lifeatspotify.com/jobs/
AI Engineer,Salesforce,Remote USA,Python LangChain LLM APIs prompt engineering vector databases RAG agent frameworks,2,"Design and build AI-powered features integrated into the Salesforce CRM platform. Implement RAG pipelines using vector databases like Pinecone and Weaviate. Build LLM-powered agents for sales and customer service automation. Fine-tune and evaluate foundation models for enterprise use cases. Work with Einstein AI platform APIs. Collaborate with product managers to define AI roadmap. Ensure responsible AI principles in all deployed systems.",https://careers.salesforce.com/en/jobs/
Data Scientist - Risk,JPMorgan Chase,New York NY,Python R SQL machine learning credit risk fraud detection statistical modeling,3,"Develop predictive models for credit risk fraud detection and regulatory compliance. Work with structured financial data at massive scale across global banking operations. Build explainable AI models that satisfy regulatory and audit requirements. Collaborate with model risk management teams for model validation. Deploy models through internal ML platforms. Publish internal research on novel risk modeling approaches. Ensure model fairness and bias mitigation across protected classes.",https://careers.jpmorgan.com/us/en/home
ML Platform Engineer,Uber,San Francisco CA,Python Go Kubernetes distributed systems ML infrastructure Michelangelo feature engineering,4,"Build and evolve Uber's ML platform Michelangelo used by thousands of data scientists. Design highly available feature stores that serve low-latency online predictions. Implement workflow orchestration for large-scale offline training jobs. Improve developer experience and tooling for ML practitioners. Handle petabyte-scale data processing pipelines. Collaborate with applied science teams to productionize models. Design systems for model A/B testing and gradual rollouts.",https://www.uber.com/us/en/careers/
Applied Scientist,Amazon AWS,Seattle WA,Python PyTorch machine learning NLP computer vision cloud services research,3,"Develop ML services and APIs for AWS AI products like Rekognition Comprehend and SageMaker. Conduct applied research bridging the gap between academic methods and production systems. Collaborate with software engineers to bring ML innovations to AWS customers globally. Evaluate and benchmark state-of-the-art models for practical suitability. Write technical whitepapers and blog posts. Work cross-functionally with teams across AWS to define AI service roadmaps.",https://www.amazon.jobs/en/
Data Scientist,LinkedIn,Sunnyvale CA,Python SQL A/B testing machine learning recommendation NLP graph neural networks,2,"Build ML models to improve job recommendations LinkedIn feed and professional connections for 900M+ members. Design and analyze large-scale experiments on ranking and relevance systems. Develop graph-based models leveraging the LinkedIn professional network. Collaborate with product engineering and research teams. Translate complex data findings into product decisions. Work on fairness and diversity in recommendation systems. Publish research at top conferences.",https://careers.linkedin.com/
MLOps Engineer,Weights & Biases,Remote USA,Python MLflow W&B experiment tracking model monitoring CI/CD Docker Kubernetes,2,"Build and improve developer tools for ML experiment tracking and model management used by top AI labs. Work closely with customers to understand their ML workflow pain points. Implement integrations with major ML frameworks and cloud platforms. Develop features for model versioning artifact management and lineage tracking. Contribute to open-source SDKs and documentation. Write tutorials and technical content for the developer community.",https://wandb.ai/site/careers
Generative AI Engineer,Adobe,San Jose CA,Python PyTorch generative models diffusion transformers creative AI fine-tuning evaluation,3,"Build generative AI capabilities for Adobe Creative Cloud products including Firefly and Photoshop. Research and implement diffusion models transformers and multimodal architectures. Fine-tune foundation models for creative domain-specific tasks. Collaborate with UX researchers to align AI outputs with creative professional needs. Build evaluation frameworks for image video and audio generation quality. Ensure responsible AI practices including bias auditing and content safety.",https://careers.adobe.com/us/en/
Data Engineer,Netflix,Los Gatos CA,Python Spark Flink Kafka SQL data modeling streaming ETL Iceberg,3,"Design and build data pipelines that power content recommendations A/B testing and business intelligence at Netflix scale. Implement real-time streaming and batch processing using Spark and Flink. Build and maintain data lake architecture using Apache Iceberg. Collaborate with data scientists to ensure reliable feature pipelines for ML models. Drive data quality initiatives and observability across the platform. Work with PB-scale datasets across thousands of daily pipelines.",https://jobs.netflix.com/jobs/
AI Safety Researcher,Anthropic,San Francisco CA,Python research alignment interpretability RLHF evaluation red-teaming safety,4,"Conduct research on AI safety alignment and interpretability of large language models. Develop techniques to understand model internals and emergent behaviors. Work on red-teaming and adversarial evaluation of frontier AI systems. Publish research on safety-relevant properties of large models. Collaborate closely with policy and governance teams. Design novel alignment training methods beyond RLHF. Contribute to responsible scaling policy and deployment decisions.",https://www.anthropic.com/careers
Machine Learning Engineer,Waymo,Mountain View CA,Python TensorFlow C++ autonomous driving sensor fusion lidar camera perception,4,"Build perception and prediction models for Waymo's fully autonomous ride-hailing service. Work on multi-modal sensor fusion combining lidar camera and radar. Develop models for 3D object detection motion prediction and scene understanding. Evaluate models using closed-loop simulation and real-world driving data. Collaborate with robotics and planning teams on the full autonomy stack. Deploy models to Waymo Driver across Phoenix San Francisco and Austin.",https://waymo.com/careers/
Data Scientist,Stripe,Remote USA,Python SQL machine learning fraud detection statistical modeling causal inference experimentation,3,"Build ML models to detect and prevent payment fraud across Stripe's global payments network. Develop causal inference frameworks to evaluate the impact of fraud interventions. Design and run experiments to improve fraud models and reduce false positives. Work with large-scale transaction data from millions of businesses worldwide. Collaborate with engineering teams to deploy models with low latency requirements. Communicate model insights to business and policy stakeholders.",https://stripe.com/jobs/
NLP Research Scientist,Apple,Cupertino CA,Python PyTorch NLP speech recognition Siri language models on-device ML privacy,5,"Research and develop natural language and speech understanding capabilities for Siri and Apple Intelligence. Work on on-device language models optimized for Apple Silicon hardware. Develop novel approaches to privacy-preserving federated learning. Collaborate with hardware teams to co-design model architectures for the Neural Engine. Publish research in top NLP and speech venues. Build evaluation benchmarks for multilingual and multimodal understanding.",https://jobs.apple.com/en-us/search?team=machine-learning-and-ai
ML Engineer - Recommendations,TikTok,Mountain View CA,Python PyTorch TensorFlow recommendation systems ranking large-scale ML distributed training,3,"Build and improve recommendation models powering TikTok's For You Page serving 1B+ users. Design real-time feature engineering pipelines and model serving systems. Run large-scale online experiments to evaluate ranking model improvements. Work on multi-objective optimization balancing engagement retention and creator diversity. Collaborate with research teams on novel recommendation architectures. Handle training on thousands of GPUs with distributed deep learning frameworks.",https://careers.tiktok.com/position/list
Data Scientist - Healthcare AI,Epic Systems,Verona WI,Python R SQL machine learning healthcare EHR clinical NLP predictive modeling,2,"Develop AI models integrated into Epic's EHR software used by 300+ hospital systems. Build clinical NLP pipelines to extract insights from unstructured physician notes. Create predictive models for patient deterioration readmission and disease risk. Work closely with clinical informatics experts and physician advisors. Ensure model fairness and equity across diverse patient populations. Navigate HIPAA requirements for data usage and model deployment. Publish clinical AI research in medical informatics journals.",https://careers.epic.com/
Reinforcement Learning Engineer,DeepMind,London UK,Python JAX TensorFlow reinforcement learning game theory optimization research,4,"Research and implement novel reinforcement learning algorithms for games robotics and scientific discovery. Work on multi-agent systems and game-theoretic approaches to AI. Contribute to landmark projects like AlphaFold and Gemini. Design training environments and reward shaping for complex tasks. Publish at top RL and ML conferences. Collaborate with domain scientists in biology chemistry and physics. Work on scalable RL infrastructure handling thousands of parallel environments.",https://deepmind.google/careers/
